Date,Max Temperature
2005-01-01,14
2005-01-02,27
2005-01-03,32
2005-01-04,14
2005-01-05,14
2005-01-06,27
2005-01-07,14
2005-01-08,16
2005-01-09,7
2005-01-10,10
2005-01-11,12
2005-01-12,19
2005-01-13,18
2005-01-14,21
2005-01-15,18
2005-01-16,21
2005-01-17,23
2005-01-18,23
2005-01-19,14
2005-01-20,14
2005-01-21,18
2005-01-22,18
2005-01-23,21
2005-01-24,23
2005-01-25,12
2005-01-26,18
2005-01-27,21
2005-01-28,19
2005-01-29,19
2005-01-30,12
2005-01-31,12
2005-02-01,19
2005-02-02,18
2005-02-03,14
2005-02-04,14
2005-02-05,18
2005-02-06,16
2005-02-07,19
2005-02-08,19
2005-02-09,18
2005-02-10,10
2005-02-11,12
2005-02-12,19
2005-02-13,19
2005-02-14,23
2005-02-15,19
2005-02-16,19
2005-02-17,21
2005-02-18,23
2005-02-19,27
2005-02-20,14
2005-02-21,14
2005-02-22,23
2005-02-23,16
2005-02-24,19
2005-02-25,18
2005-02-26,18
2005-02-27,25
2005-02-28,21
2005-03-01,19
2005-03-02,19
2005-03-03,23
2005-03-04,25
2005-03-05,27
2005-03-06,37
2005-03-07,39
2005-03-08,27
2005-03-09,28
2005-03-10,23
2005-03-11,21
2005-03-12,23
2005-03-13,28
2005-03-14,36
2005-03-15,41
2005-03-16,46
2005-03-17,39
2005-03-18,36
2005-03-19,39
2005-03-20,46
2005-03-21,45
2005-03-22,46
2005-03-23,41
2005-03-24,32
2005-03-25,36
2005-03-26,45
2005-03-27,48
2005-03-28,41
2005-03-29,39
2005-03-30,45
2005-03-31,43
2005-04-01,48
2005-04-02,48
2005-04-03,48
2005-04-04,50
2005-04-05,63
2005-04-06,66
2005-04-07,52
2005-04-08,46
2005-04-09,48
2005-04-10,48
2005-04-11,55
2005-04-12,46
2005-04-13,55
2005-04-14,50
2005-04-15,52
2005-04-16,48
2005-04-17,54
2005-04-18,54
2005-04-19,50
2005-04-20,50
2005-04-21,55
2005-04-22,45
2005-04-23,57
